ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
2,0.000,0.000,0.000,0.000,{built-in method _win32sysloader.GetModuleFilename}
1,0.003,0.003,0.003,0.003,{built-in method _win32sysloader.LoadModule}
1,0.000,0.000,0.000,0.000,{built-in method win32api.GetFullPathName}
1,0.000,0.000,0.000,0.000,{built-in method win32api.GetTempPath}
1,0.000,0.000,0.000,0.000,{built-in method win32api.RegOpenKey}
42,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:35(_new_module)
126,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:36(_relax_case)
55,0.000,0.000,0.001,0.000,<frozen importlib._bootstrap>:58(__init__)
76,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:78(acquire)
76,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:103(release)
57,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:143(__init__)
57,0.000,0.000,0.002,0.000,<frozen importlib._bootstrap>:147(__enter__)
57,0.000,0.000,0.001,0.000,<frozen importlib._bootstrap>:151(__exit__)
55,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:176(cb)
76,0.001,0.000,0.002,0.000,<frozen importlib._bootstrap>:157(_get_module_lock)
19,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:194(_lock_unlock_module)
75/6,0.000,0.000,0.337,0.056,<frozen importlib._bootstrap>:211(_call_with_frames_removed)
690,0.001,0.000,0.001,0.000,<frozen importlib._bootstrap>:222(_verbose_message)
1,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
47,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:307(__init__)
47,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:311(__enter__)
188,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:321(<genexpr>)
47,0.000,0.000,0.001,0.000,<frozen importlib._bootstrap>:318(__exit__)
126,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:51(_r_long)
98,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:369(__init__)
86,0.000,0.000,0.002,0.000,<frozen importlib._bootstrap>:403(cached)
98,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:416(parent)
47,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:424(has_location)
823,0.001,0.000,0.002,0.000,<frozen importlib._bootstrap_external>:58(<listcomp>)
10,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:433(spec_from_loader)
47,0.001,0.000,0.003,0.000,<frozen importlib._bootstrap>:504(_init_module_attrs)
47,0.000,0.000,0.013,0.000,<frozen importlib._bootstrap>:576(module_from_spec)
9/8,0.000,0.000,0.075,0.009,<frozen importlib._bootstrap>:634(_load_backward_compatible)
56/6,0.001,0.000,0.337,0.056,<frozen importlib._bootstrap>:663(_load_unlocked)
2,0.000,0.000,0.003,0.002,<frozen importlib._bootstrap>:686(_load)
55,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:719(find_spec)
1,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:740(create_module)
1,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:748(exec_module)
1,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:765(is_package)
823,0.005,0.000,0.007,0.000,<frozen importlib._bootstrap_external>:56(_path_join)
54,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:792(find_spec)
84,0.001,0.000,0.001,0.000,<frozen importlib._bootstrap_external>:62(_path_split)
187,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:855(__enter__)
187,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:859(__exit__)
426,0.001,0.000,0.035,0.000,<frozen importlib._bootstrap_external>:74(_path_stat)
24,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:873(_find_spec_legacy)
55,0.001,0.000,0.034,0.001,<frozen importlib._bootstrap>:882(_find_spec)
55/6,0.001,0.000,0.340,0.057,<frozen importlib._bootstrap>:948(_find_and_load_unlocked)
55/6,0.001,0.000,0.341,0.057,<frozen importlib._bootstrap>:978(_find_and_load)
109/56,0.000,0.000,0.078,0.001,<frozen importlib._bootstrap>:1009(_handle_fromlist)
258,0.001,0.000,0.016,0.000,<frozen importlib._bootstrap_external>:84(_path_is_mode_type)
218,0.000,0.000,0.013,0.000,<frozen importlib._bootstrap_external>:93(_path_isfile)
40,0.000,0.000,0.003,0.000,<frozen importlib._bootstrap_external>:98(_path_isdir)
84,0.001,0.000,0.002,0.000,<frozen importlib._bootstrap_external>:271(cache_from_source)
44,0.000,0.000,0.002,0.000,<frozen importlib._bootstrap_external>:369(_get_cached)
42,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:401(_check_name_wrapper)
39,0.000,0.000,0.017,0.000,<frozen importlib._bootstrap_external>:421(_find_module_shim)
42,0.000,0.000,0.001,0.000,<frozen importlib._bootstrap_external>:438(_classify_pyc)
42,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
42,0.000,0.000,0.016,0.000,<frozen importlib._bootstrap_external>:523(_compile_bytecode)
44,0.000,0.000,0.001,0.000,<frozen importlib._bootstrap_external>:574(spec_from_file_location)
42,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:719(create_module)
42/6,0.000,0.000,0.336,0.056,<frozen importlib._bootstrap_external>:722(exec_module)
42,0.001,0.000,0.064,0.002,<frozen importlib._bootstrap_external>:793(get_code)
42,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:884(__init__)
42,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:909(get_filename)
42,0.035,0.001,0.040,0.001,<frozen importlib._bootstrap_external>:914(get_data)
42,0.000,0.000,0.005,0.000,<frozen importlib._bootstrap_external>:951(path_stats)
4,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:1029(__init__)
4,0.000,0.000,0.009,0.002,<frozen importlib._bootstrap_external>:1040(create_module)
4,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:1048(exec_module)
7,0.001,0.000,0.002,0.000,<frozen importlib._bootstrap_external>:1190(_path_hooks)
97,0.000,0.000,0.002,0.000,<frozen importlib._bootstrap_external>:1203(_path_importer_cache)
54,0.001,0.000,0.032,0.001,<frozen importlib._bootstrap_external>:1240(_get_spec)
54,0.000,0.000,0.032,0.001,<frozen importlib._bootstrap_external>:1272(find_spec)
